id,_Personne__id_personne,_Personne__sex,_Personne__nom,_Personne__prenom,_Personne__date_naissance,_Personne__nationalite,_Personne__pays,_Personne__taille,_Personne__poids,_Personne__statut,_Personne__id_csv,_Competiteur__surnom,_Competiteur__sport_pratique,_Competiteur__numero_maillot,_Competiteur__poste_principal,_Competiteur__nombre_medailles
1,1,,Achiuwa,Precious,1999-09-19,,,203.2,102.0582,{},1630173.0,,1,5.0,Forward,0
2,2,,Adams,Steven,1993-07-02,,,210.82,120.20188,{},203500.0,,1,4.0,Center,0
3,3,,Adebayo,Bam,1997-07-18,,,205.74,115.66596,{},1628389.0,,1,13.0,Center-Forward,0
4,4,,Agbaji,Ochai,2000-04-02,,,195.57999999999998,97.52228,{},1630534.0,,1,30.0,Guard,0
5,5,,Aldama,Santi,2001-01-01,,,213.36,97.52228,{},1630583.0,,1,7.0,Forward-Center,0
6,6,,Alexander-Walker,Nickeil,1998-09-02,,,195.57999999999998,92.98636,{},1629638.0,,1,9.0,Guard,0
7,7,,Allen,Grayson,1995-10-08,,,193.04,89.811216,{},1628960.0,,1,12.0,Guard,0
8,8,,Allen,Jarrett,1998-04-21,,,205.74,110.222856,{},1628386.0,,1,31.0,Center,0
9,9,,Alvarado,Jose,1998-04-12,,,182.88,81.192968,{},1630631.0,,1,15.0,Guard,0
10,10,,Anderson,Kyle,1993-09-02,,,205.74,104.32616,{},203937.0,,1,5.0,Forward-Guard,0
11,11,,Antetokounmpo,Giannis,1994-12-06,,,213.36,110.222856,{},203507.0,,1,34.0,Forward,0
12,12,,Antetokounmpo,Thanasis,1992-07-18,,,200.66,99.336648,{},203648.0,,1,43.0,Forward,0
13,13,,Anthony,Cole,2000-05-15,,,190.5,83.91452,{},1630175.0,,1,50.0,Guard,0
14,14,,Anunoby,O.G.,1997-07-17,,,200.66,105.233344,{},1628384.0,,1,3.0,Forward,0
15,15,,Augustin,D.J.,1987-11-01,,,180.34,83.007336,{},201571.0,,1,4.0,Guard,0
16,16,,Ayton,Deandre,1998-07-23,,,213.36,113.398,{},1629028.0,,1,22.0,Center,0
17,17,,Azubuike,Udoka,1999-09-17,,,210.82,122.46984,{},1628962.0,,1,20.0,Center-Forward,0
18,18,,Bagley III,Marvin,1999-03-14,,,208.28,106.59412,{},1628963.0,,1,35.0,Forward,0
19,19,,Baldwin Jr.,Patrick,2002-11-18,,,205.74,99.79024,{},1631116.0,,1,7.0,Forward,0
20,20,,Ball,LaMelo,2001-08-22,,,200.66,81.64656,{},1630163.0,,1,1.0,Guard,0
21,21,,Ball,Lonzo,1997-10-27,,,198.12,86.18248,{},1628366.0,,1,2.0,Guard,0
22,22,,Banchero,Paolo,2002-11-12,,,208.28,113.398,{},1631094.0,,1,5.0,Forward,0
23,23,,Bane,Desmond,1998-06-25,,,195.57999999999998,97.52228,{},1630217.0,,1,22.0,Guard,0
24,24,,Banton,Dalano,1999-11-07,,,200.66,92.532768,{},1630625.0,,1,45.0,Forward,0
25,25,,Barlow,Dominick,2003-05-26,,,205.74,97.52228,{},1631230.0,,1,26.0,Forward,0
26,26,,Barnes,Harrison,1992-05-03,,,203.2,102.0582,{},203084.0,,1,40.0,Forward,0
27,27,,Barnes,Scottie,2001-08-01,,,203.2,102.0582,{},1630567.0,,1,4.0,Forward,0
28,28,,Barrett,RJ,2000-06-14,,,198.12,97.068688,{},1629628.0,,1,9.0,Forward-Guard,0
29,29,,Barton,Will,1991-01-06,,,195.57999999999998,82.100152,{},203115.0,,1,1.0,Guard,0
30,30,,Bassey,Charles,2000-10-28,,,205.74,104.32616,{},1629646.0,,1,28.0,Center-Forward,0
31,31,,Batum,Nicolas,1988-12-14,,,203.2,104.32616,{},201587.0,,1,33.0,Guard-Forward,0
32,32,,Bazley,Darius,2000-06-12,,,205.74,97.975872,{},1629647.0,,1,55.0,Forward,0
33,33,,Beal,Bradley,1993-06-28,,,193.04,93.893544,{},203078.0,,1,3.0,Guard,0
34,34,,Beasley,Malik,1996-11-26,,,193.04,84.821704,{},1627736.0,,1,5.0,Guard,0
35,35,,Beauchamp,MarJon,2000-10-12,,,200.66,90.264808,{},1630699.0,,1,0.0,Forward,0
36,36,,Bertans,Davis,1992-11-12,,,208.28,102.0582,{},202722.0,,1,44.0,Forward,0
37,37,,Beverley,Patrick,1988-07-12,,,187.96,81.64656,{},201976.0,,1,21.0,Guard,0
38,38,,Bey,Saddiq,1999-04-09,,,200.66,97.52228,{},1630180.0,,1,41.0,Forward,0
39,39,,Birch,Khem,1992-09-28,,,203.2,105.686936,{},203920.0,,1,24.0,Center,0
40,40,,Bitadze,Goga,1999-07-02,,,210.82,113.398,{},1629048.0,,1,88.0,Center-Forward,0
41,41,,Biyombo,Bismack,1992-08-28,,,203.2,115.66596,{},202687.0,,1,18.0,Center,0
42,42,,Boeheim,Buddy,1999-11-11,,,198.12,92.98636,{},1631205.0,,1,27.0,Forward,0
43,43,,Bogdanovic,Bojan,1989-04-18,,,200.66,102.511792,{},202711.0,,1,44.0,Forward,0
44,44,,Bol,Bol,1999-11-16,,,218.44000000000003,99.79024,{},1629626.0,,1,10.0,Center-Forward,0
45,45,,Booker,Devin,1996-10-03,,,195.57999999999998,93.439952,{},1626164.0,,1,1.0,Guard,0
46,46,,Boston Jr.,Brandon,2001-11-28,,,198.12,85.275296,{},1630527.0,,1,4.0,Guard,0
47,47,,Boucher,Chris,1993-01-11,,,205.74,90.7184,{},1628449.0,,1,25.0,Forward-Center,0
48,48,,Bouyea,Jamaree,1999-06-27,,,187.96,81.64656,{},1631123.0,,1,11.0,Guard,0
49,49,,Branham,Malaki,2003-05-12,,,193.04,81.64656,{},1631103.0,,1,22.0,Forward,0
50,50,,Braun,Christian,2001-04-17,,,198.12,99.79024,{},1631128.0,,1,0.0,Guard,0
51,51,,Bridges,Mikal,1996-08-03,,,198.12,94.80072799999999,{},1628969.0,,1,1.0,Guard-Forward,0
52,52,,Bridges,Miles,1998-03-21,,,200.66,102.0582,{},1628970.0,,1,0.0,Forward,0
53,53,,Brissett,Oshae,1998-06-02,,,200.66,95.25431999999999,{},1629052.0,,1,12.0,Forward-Guard,0
54,54,,Brooks,Dillon,1996-01-22,,,198.12,102.0582,{},1628415.0,,1,24.0,Guard-Forward,0
55,55,,Brown,Bruce,1996-08-15,,,193.04,91.625584,{},1628971.0,,1,11.0,Guard-Forward,0
56,56,,Brown,Jaylen,1996-10-24,,,198.12,101.151016,{},1627759.0,,1,7.0,Guard-Forward,0
57,57,,Brown,Kendall,2003-05-11,,,200.66,92.98636,{},1631112.0,,1,10.0,Guard,0
58,58,,Brown Jr.,Troy,1999-07-28,,,200.66,97.52228,{},1628972.0,,1,7.0,Guard-Forward,0
59,59,,Brunson,Jalen,1996-08-31,,,187.96,86.18248,{},1628973.0,,1,11.0,Guard,0
60,60,,Bryant,Thomas,1997-07-31,,,208.28,112.490816,{},1628418.0,,1,13.0,Center-Forward,0
61,61,,Bullock,Reggie,1991-03-16,,,198.12,92.98636,{},203493.0,,1,25.0,Guard-Forward,0
62,62,,Burks,Alec,1991-07-02,,,198.12,97.068688,{},202692.0,,1,5.0,Guard,0
63,63,,Butler,Jared,2000-08-25,,,190.5,87.543256,{},1630215.0,,1,14.0,Guard,0
64,64,,Butler,Jimmy,1989-09-14,,,200.66,104.32616,{},202710.0,,1,22.0,Forward,0
65,65,,Cain,Jamal,1999-03-02,,,198.12,86.636072,{},1631288.0,,1,8.0,Forward,0
66,66,,Caldwell-Pope,Kentavious,1993-02-18,,,195.57999999999998,92.532768,{},203484.0,,1,5.0,Guard,0
67,67,,Cancar,Vlatko,1997-04-01,,,203.2,107.047712,{},1628427.0,,1,31.0,Forward,0
68,68,,Capela,Clint,1994-05-18,,,208.28,116.119552,{},203991.0,,1,15.0,Center,0
69,69,,Carey Jr.,Vernon,2001-02-25,,,208.28,122.46984,{},1630176.0,,1,13.0,Center,0
70,70,,Carter,Jevon,1995-09-14,,,185.42,90.7184,{},1628975.0,,1,5.0,Guard,0
71,71,,Carter Jr.,Wendell,1999-04-16,,,208.28,122.46984,{},1628976.0,,1,34.0,Center-Forward,0
72,72,,Carter-Williams,Michael,1991-10-01,,,195.57999999999998,86.18248,{},203487.0,,1,11.0,Guard,0
73,73,,Caruso,Alex,1994-02-28,,,195.57999999999998,84.368112,{},1627936.0,,1,6.0,Guard,0
74,74,,Cauley-Stein,Willie,1993-08-18,,,213.36,108.86207999999999,{},1626161.0,,1,0.0,Center,0
75,75,,Champagnie,Julian,2001-06-29,,,200.66,98.429464,{},1630577.0,,1,30.0,Forward,0
76,76,,Champagnie,Justin,2001-06-29,,,198.12,93.439952,{},1630551.0,,1,99.0,Guard-Forward,0
77,77,,Christopher,Josh,2001-12-08,,,193.04,97.52228,{},1630528.0,,1,9.0,Guard,0
78,78,,Clarke,Brandon,1996-09-19,,,203.2,97.52228,{},1629634.0,,1,15.0,Forward,0
79,79,,Clarkson,Jordan,1992-06-07,,,195.57999999999998,87.996848,{},203903.0,,1,0.0,Guard,0
80,80,,Claxton,Nic,1999-04-17,,,210.82,97.52228,{},1629651.0,,1,33.0,Center,0
81,81,,Collins,John,1997-09-23,,,205.74,102.511792,{},1628381.0,,1,20.0,Forward-Center,0
82,82,,Collins,Zach,1997-11-19,,,210.82,113.398,{},1628380.0,,1,23.0,Forward-Center,0
83,83,,Conley,Mike,1987-10-11,,,185.42,79.3786,{},201144.0,,1,10.0,Guard,0
84,84,,Connaughton,Pat,1993-01-06,,,195.57999999999998,94.80072799999999,{},1626192.0,,1,24.0,Guard,0
85,85,,Covington,Robert,1990-12-14,,,200.66,94.80072799999999,{},203496.0,,1,23.0,Forward,0
86,86,,Craig,Torrey,1990-12-19,,,200.66,100.243832,{},1628470.0,,1,0.0,Forward,0
87,87,,Crowder,Jae,1990-07-06,,,198.12,106.59412,{},203109.0,,1,99.0,Forward,0
88,88,,Cunningham,Cade,2001-09-25,,,200.66,99.79024,{},1630595.0,,1,2.0,Guard,0
