id,_Match__id_match,_Match__heure_debut,_Match__heure_fin,_Match__jour,_Match__ville,_Match__liste_equipes_participantes,_Match__score,_Match__arbitre,_Match__lieu,_Match__id_csv,_Match__statistiques_diverses,_Match__duree
1,1,,,2022-10-18,,"[2, 19]","[(2, 126), (19, 117)]",,,22200001,{},48.0
2,2,,,2022-10-18,,"[8, 11]","[(8, 123), (11, 109)]",,,22200002,{},48.0
3,3,,,2022-10-19,,"[29, 17]","[(29, 113), (17, 109)]",,,22200003,{},48.0
4,4,,,2022-10-19,,"[26, 7]","[(26, 123), (7, 102)]",,,22200012,{},48.0
5,5,,,2022-10-19,,"[15, 4]","[(15, 108), (4, 130)]",,,22200006,{},48.0
6,6,,,2022-10-19,,"[18, 28]","[(18, 107), (28, 114)]",,,22200004,{},48.0
7,7,,,2022-10-19,,"[22, 21]","[(22, 108), (21, 115)]",,,22200014,{},48.0
8,8,,,2022-10-19,,"[20, 6]","[(20, 107), (6, 105)]",,,22200013,{},48.0
9,9,,,2022-10-19,,"[23, 30]","[(23, 102), (30, 129)]",,,22200011,{},48.0
10,10,,,2022-10-19,,"[14, 24]","[(14, 115), (24, 108)]",,,22200010,{},48.0
11,11,,,2022-10-19,,"[25, 3]","[(25, 108), (3, 105)]",,,22200008,{},48.0
12,12,,,2022-10-19,,"[27, 16]","[(27, 115), (16, 112)]",,,22200009,{},53.0
13,13,,,2022-10-19,,"[12, 5]","[(12, 108), (5, 116)]",,,22200007,{},48.0
14,14,,,2022-10-19,,"[1, 9]","[(1, 117), (9, 107)]",,,22200005,{},48.0
15,15,,,2022-10-02,,"[19, 13]","[(19, 88), (13, 90)]",,,22200015,{},48.0
16,16,,,2022-10-02,,"[11, 10]","[(11, 97), (10, 103)]",,,22200016,{},48.0
17,17,,,2022-10-21,,"[9, 27]","[(9, 122), (27, 129)]",,,22200024,{},48.0
18,18,,,2022-10-21,,"[15, 25]","[(15, 109), (25, 105)]",,,22200021,{},48.0
19,19,,,2022-10-21,,"[21, 20]","[(21, 113), (20, 111)]",,,22200027,{},53.0
20,20,,,2022-10-21,,"[14, 26]","[(14, 126), (26, 132)]",,,22200025,{},53.0
21,21,,,2022-10-21,,"[1, 17]","[(1, 108), (17, 98)]",,,22200020,{},48.0
22,22,,,2022-10-21,,"[8, 7]","[(8, 123), (7, 128)]",,,22200026,{},48.0
23,23,,,2022-10-21,,"[18, 23]","[(18, 134), (23, 137)]",,,22200018,{},48.0
24,24,,,2022-10-21,,"[30, 4]","[(30, 112), (4, 124)]",,,22200017,{},48.0
25,25,,,2022-10-21,,"[16, 29]","[(16, 130), (29, 106)]",,,22200023,{},48.0
26,26,,,2022-10-21,,"[12, 2]","[(12, 104), (2, 111)]",,,22200022,{},48.0
27,27,,,2022-10-21,,"[28, 5]","[(28, 102), (5, 100)]",,,22200019,{},48.0
28,28,,,2022-10-22,,"[6, 27]","[(6, 137), (27, 96)]",,,22200034,{},48.0
29,29,,,2022-10-22,,"[5, 3]","[(5, 96), (3, 128)]",,,22200032,{},48.0
30,30,,,2022-10-22,,"[19, 23]","[(19, 105), (23, 114)]",,,22200028,{},48.0
31,31,,,2022-10-22,,"[13, 9]","[(13, 125), (9, 105)]",,,22200033,{},48.0
32,32,,,2022-10-22,,"[17, 2]","[(17, 120), (2, 126)]",,,22200030,{},48.0
33,33,,,2022-10-22,,"[18, 29]","[(18, 124), (29, 115)]",,,22200029,{},48.0
34,34,,,2022-10-22,,"[22, 10]","[(22, 109), (10, 111)]",,,22200036,{},48.0
35,35,,,2022-10-22,,"[7, 24]","[(7, 122), (24, 117)]",,,22200035,{},48.0
36,36,,,2022-10-22,,"[12, 25]","[(12, 112), (25, 109)]",,,22200031,{},48.0
37,37,,,2022-10-23,,"[24, 14]","[(24, 106), (14, 116)]",,,22200041,{},48.0
38,38,,,2022-10-23,,"[10, 20]","[(10, 95), (20, 112)]",,,22200043,{},48.0
39,39,,,2022-10-23,,"[11, 21]","[(11, 104), (21, 106)]",,,22200037,{},48.0
40,40,,,2022-10-23,,"[1, 30]","[(1, 109), (30, 126)]",,,22200038,{},48.0
41,41,,,2022-10-23,,"[4, 26]","[(4, 121), (26, 122)]",,,22200040,{},53.0
42,42,,,2022-10-23,,"[8, 22]","[(8, 130), (22, 125)]",,,22200042,{},48.0
43,43,,,2022-10-23,,"[3, 28]","[(3, 117), (28, 107)]",,,22200039,{},53.0
44,44,,,2022-10-24,,"[19, 18]","[(19, 120), (18, 106)]",,,22200044,{},48.0
45,45,,,2022-10-24,,"[16, 17]","[(16, 115), (17, 102)]",,,22200046,{},48.0
46,46,,,2022-10-24,,"[12, 25]","[(12, 90), (25, 98)]",,,22200045,{},48.0
47,47,,,2022-10-24,,"[5, 2]","[(5, 120), (2, 102)]",,,22200047,{},48.0
48,48,,,2022-10-24,,"[27, 15]","[(27, 134), (15, 124)]",,,22200049,{},48.0
49,49,,,2022-10-24,,"[14, 23]","[(14, 106), (23, 115)]",,,22200050,{},48.0
50,50,,,2022-10-24,,"[21, 7]","[(21, 135), (7, 110)]",,,22200051,{},48.0
51,51,,,2022-10-24,,"[9, 26]","[(9, 114), (26, 108)]",,,22200048,{},48.0
52,52,,,2022-10-25,,"[4, 6]","[(4, 113), (6, 111)]",,,22200053,{},48.0
53,53,,,2022-10-25,,"[20, 8]","[(20, 134), (8, 105)]",,,22200055,{},48.0
54,54,,,2022-10-25,,"[28, 29]","[(28, 120), (29, 99)]",,,22200052,{},48.0
55,55,,,2022-10-25,,"[24, 10]","[(24, 108), (10, 94)]",,,22200054,{},48.0
56,56,,,2022-10-26,,"[16, 30]","[(16, 134), (30, 131)]",,,22200058,{},53.0
57,57,,,2022-10-26,,"[25, 19]","[(25, 119), (19, 109)]",,,22200059,{},48.0
58,58,,,2022-10-26,,"[26, 9]","[(26, 109), (9, 101)]",,,22200063,{},48.0
59,59,,,2022-10-26,,"[21, 12]","[(21, 98), (12, 119)]",,,22200065,{},48.0
60,60,,,2022-10-26,,"[7, 11]","[(7, 110), (11, 99)]",,,22200064,{},48.0
61,61,,,2022-10-26,,"[3, 17]","[(3, 103), (17, 92)]",,,22200056,{},48.0
62,62,,,2022-10-26,,"[14, 23]","[(14, 134), (23, 122)]",,,22200062,{},48.0
63,63,,,2022-10-26,,"[13, 15]","[(13, 110), (15, 99)]",,,22200060,{},48.0
64,64,,,2022-10-26,,"[5, 18]","[(5, 124), (18, 109)]",,,22200061,{},48.0
65,65,,,2022-10-26,,"[29, 1]","[(29, 113), (1, 118)]",,,22200057,{},48.0
66,66,,,2022-10-27,,"[15, 6]","[(15, 125), (6, 129)]",,,22200066,{},53.0
67,67,,,2022-10-27,,"[22, 27]","[(22, 110), (27, 125)]",,,22200069,{},48.0
68,68,,,2022-10-27,,"[8, 12]","[(8, 123), (12, 110)]",,,22200068,{},48.0
69,69,,,2022-10-27,,"[24, 10]","[(24, 118), (10, 110)]",,,22200067,{},48.0
70,70,,,2022-10-28,,"[14, 11]","[(14, 111), (11, 102)]",,,22200076,{},48.0
71,71,,,2022-10-28,,"[23, 5]","[(23, 129), (5, 124)]",,,22200077,{},48.0
72,72,,,2022-10-28,,"[7, 26]","[(7, 117), (26, 101)]",,,22200078,{},48.0
73,73,,,2022-10-28,,"[17, 30]","[(17, 113), (30, 93)]",,,22200071,{},48.0
74,74,,,2022-10-28,,"[2, 3]","[(2, 123), (3, 132)]",,,22200072,{},53.0
75,75,,,2022-10-28,,"[28, 18]","[(28, 117), (18, 127)]",,,22200074,{},48.0
76,76,,,2022-10-28,,"[20, 4]","[(20, 124), (4, 111)]",,,22200079,{},48.0
77,77,,,2022-10-28,,"[21, 9]","[(21, 125), (9, 111)]",,,22200080,{},48.0
78,78,,,2022-10-28,,"[29, 1]","[(29, 112), (1, 136)]",,,22200070,{},48.0
79,79,,,2022-10-28,,"[25, 19]","[(25, 90), (19, 112)]",,,22200073,{},48.0
80,80,,,2022-10-28,,"[13, 16]","[(13, 119), (16, 108)]",,,22200075,{},48.0
81,81,,,2022-10-29,,"[30, 8]","[(30, 120), (8, 113)]",,,22200082,{},53.0
82,82,,,2022-10-29,,"[13, 1]","[(13, 123), (1, 115)]",,,22200085,{},48.0
83,83,,,2022-10-29,,"[22, 12]","[(22, 119), (12, 113)]",,,22200081,{},48.0
84,84,,,2022-10-29,,"[5, 19]","[(5, 109), (19, 114)]",,,22200084,{},48.0
85,85,,,2022-10-29,,"[26, 27]","[(26, 124), (27, 123)]",,,22200087,{},48.0
86,86,,,2022-10-29,,"[6, 24]","[(6, 111), (24, 117)]",,,22200086,{},53.0
87,87,,,2022-10-29,,"[15, 18]","[(15, 116), (18, 125)]",,,22200083,{},48.0
88,88,,,2022-10-03,,"[3, 16]","[(3, 121), (16, 108)]",,,22200090,{},48.0
89,89,,,2022-10-03,,"[29, 8]","[(29, 128), (8, 114)]",,,22200091,{},48.0
90,90,,,2022-10-03,,"[20, 9]","[(20, 124), (9, 109)]",,,22200094,{},48.0
91,91,,,2022-10-03,,"[2, 28]","[(2, 112), (28, 94)]",,,22200089,{},48.0
92,92,,,2022-10-03,,"[11, 7]","[(11, 121), (7, 110)]",,,22200095,{},48.0
93,93,,,2022-10-03,,"[6, 17]","[(6, 114), (17, 105)]",,,22200093,{},48.0
94,94,,,2022-10-03,,"[10, 4]","[(10, 91), (4, 112)]",,,22200088,{},48.0
95,95,,,2022-10-03,,"[23, 14]","[(23, 107), (14, 98)]",,,22200092,{},48.0
96,96,,,2022-10-31,,"[25, 1]","[(25, 139), (1, 109)]",,,22200099,{},48.0
97,97,,,2022-10-31,,"[15, 18]","[(15, 116), (18, 109)]",,,22200098,{},48.0
98,98,,,2022-10-31,,"[26, 27]","[(26, 121), (27, 105)]",,,22200101,{},48.0
99,99,,,2022-10-31,,"[13, 29]","[(13, 110), (29, 108)]",,,22200100,{},48.0
100,100,,,2022-10-31,,"[10, 9]","[(10, 95), (9, 93)]",,,22200102,{},48.0
101,101,,,2022-10-31,,"[28, 19]","[(28, 111), (19, 118)]",,,22200097,{},48.0
102,102,,,2022-10-31,,"[30, 22]","[(30, 108), (22, 115)]",,,22200096,{},48.0
103,103,,,2022-11-01,,"[20, 14]","[(20, 116), (14, 107)]",,,22200106,{},48.0
104,104,,,2022-11-01,,"[24, 17]","[(24, 116), (17, 108)]",,,22200105,{},48.0
105,105,,,2022-11-01,,"[15, 5]","[(15, 99), (5, 108)]",,,22200103,{},48.0
106,106,,,2022-11-01,,"[12, 8]","[(12, 116), (8, 109)]",,,22200104,{},48.0
107,107,,,2022-11-02,,"[19, 28]","[(19, 111), (28, 121)]",,,22200108,{},48.0
108,108,,,2022-11-02,,"[11, 4]","[(11, 120), (4, 117)]",,,22200117,{},53.0
109,109,,,2022-11-02,,"[9, 10]","[(9, 101), (10, 109)]",,,22200112,{},48.0
110,110,,,2022-11-02,,"[21, 27]","[(21, 106), (27, 111)]",,,22200116,{},48.0
111,111,,,2022-11-02,,"[16, 1]","[(16, 99), (1, 112)]",,,22200110,{},48.0
112,112,,,2022-11-02,,"[6, 26]","[(6, 103), (26, 100)]",,,22200115,{},48.0
113,113,,,2022-11-02,,"[5, 30]","[(5, 106), (30, 88)]",,,22200111,{},48.0
114,114,,,2022-11-02,,"[3, 2]","[(3, 114), (2, 113)]",,,22200107,{},53.0
115,115,,,2022-11-02,,"[13, 29]","[(13, 116), (29, 91)]",,,22200113,{},48.0
116,116,,,2022-11-02,,"[12, 22]","[(12, 110), (22, 107)]",,,22200109,{},48.0
117,117,,,2022-11-02,,"[23, 25]","[(23, 100), (25, 143)]",,,22200114,{},48.0
118,118,,,2022-11-03,,"[24, 7]","[(24, 110), (7, 122)]",,,22200119,{},48.0
119,119,,,2022-11-03,,"[17, 8]","[(17, 130), (8, 129)]",,,22200118,{},48.0
120,120,,,2022-11-04,,"[28, 15]","[(28, 86), (15, 128)]",,,22200123,{},48.0
121,121,,,2022-11-04,,"[23, 10]","[(23, 106), (10, 113)]",,,22200126,{},48.0
122,122,,,2022-11-04,,"[11, 26]","[(11, 116), (26, 130)]",,,22200131,{},48.0
123,123,,,2022-11-04,,"[2, 5]","[(2, 123), (5, 119)]",,,22200124,{},48.0
124,124,,,2022-11-04,,"[14, 13]","[(14, 102), (13, 115)]",,,22200129,{},48.0
125,125,,,2022-11-04,,"[27, 30]","[(27, 130), (30, 99)]",,,22200125,{},48.0
126,126,,,2022-11-04,,"[20, 21]","[(20, 106), (21, 108)]",,,22200130,{},48.0
127,127,,,2022-11-04,,"[4, 8]","[(4, 114), (8, 105)]",,,22200128,{},48.0
128,128,,,2022-11-04,,"[6, 25]","[(6, 111), (25, 110)]",,,22200127,{},48.0
129,129,,,2022-11-04,,"[18, 12]","[(18, 101), (12, 99)]",,,22200121,{},48.0
130,130,,,2022-11-04,,"[19, 16]","[(19, 104), (16, 106)]",,,22200122,{},48.0
131,131,,,2022-11-04,,"[29, 3]","[(29, 88), (3, 112)]",,,22200120,{},48.0
132,132,,,2022-11-05,,"[14, 9]","[(14, 129), (9, 117)]",,,22200137,{},48.0
133,133,,,2022-11-05,,"[1, 4]","[(1, 124), (4, 121)]",,,22200134,{},53.0
134,134,,,2022-11-05,,"[13, 24]","[(13, 108), (24, 94)]",,,22200136,{},48.0
135,135,,,2022-11-05,,"[16, 2]","[(16, 118), (2, 133)]",,,22200135,{},48.0
136,136,,,2022-11-05,,"[17, 22]","[(17, 123), (22, 126)]",,,22200132,{},53.0
137,137,,,2022-11-05,,"[30, 15]","[(30, 94), (15, 98)]",,,22200133,{},48.0
138,138,,,2022-11-05,,"[7, 23]","[(7, 126), (23, 101)]",,,22200138,{},48.0
139,139,,,2022-11-05,,"[20, 21]","[(20, 102), (21, 82)]",,,22200139,{},48.0
140,140,,,2022-11-06,,"[10, 26]","[(10, 102), (26, 110)]",,,22200143,{},48.0
141,141,,,2022-11-06,,"[25, 5]","[(25, 113), (5, 104)]",,,22200141,{},48.0
142,142,,,2022-11-06,,"[11, 3]","[(11, 100), (3, 114)]",,,22200140,{},48.0
143,143,,,2022-11-06,,"[27, 28]","[(27, 103), (28, 97)]",,,22200142,{},48.0
144,144,,,2022-11-07,,"[6, 15]","[(6, 96), (15, 94)]",,,22200155,{},48.0
145,145,,,2022-11-07,,"[23, 7]","[(23, 109), (7, 115)]",,,22200154,{},48.0
146,146,,,2022-11-07,,"[8, 22]","[(8, 116), (22, 113)]",,,22200156,{},48.0
147,147,,,2022-11-07,,"[19, 20]","[(19, 100), (20, 88)]",,,22200148,{},48.0
148,148,,,2022-11-07,,"[14, 16]","[(14, 107), (16, 120)]",,,22200153,{},48.0
149,149,,,2022-11-07,,"[12, 21]","[(12, 107), (21, 110)]",,,22200150,{},48.0
150,150,,,2022-11-07,,"[30, 28]","[(30, 100), (28, 108)]",,,22200144,{},48.0
151,151,,,2022-11-07,,"[18, 4]","[(18, 129), (4, 122)]",,,22200147,{},48.0
152,152,,,2022-11-07,,"[26, 11]","[(26, 139), (11, 116)]",,,22200157,{},48.0
153,153,,,2022-11-07,,"[17, 9]","[(17, 127), (9, 134)]",,,22200145,{},48.0
154,154,,,2022-11-07,,"[27, 2]","[(27, 106), (2, 109)]",,,22200152,{},48.0
155,155,,,2022-11-07,,"[1, 13]","[(1, 117), (13, 98)]",,,22200149,{},48.0
156,156,,,2022-11-07,,"[5, 25]","[(5, 111), (25, 97)]",,,22200151,{},48.0
157,157,,,2022-11-07,,"[29, 24]","[(29, 112), (24, 103)]",,,22200146,{},48.0
158,158,,,2022-11-07,,"[10, 3]","[(10, 119), (3, 117)]",,,22200158,{},48.0
159,159,,,2022-11-09,,"[1, 26]","[(1, 119), (26, 125)]",,,22200162,{},48.0
160,160,,,2022-11-09,,"[10, 11]","[(10, 114), (11, 101)]",,,22200170,{},48.0
161,161,,,2022-11-09,,"[5, 4]","[(5, 111), (4, 115)]",,,22200166,{},48.0
162,162,,,2022-11-09,,"[17, 6]","[(17, 94), (6, 87)]",,,22200161,{},48.0
163,163,,,2022-11-09,,"[22, 3]","[(22, 127), (3, 120)]",,,22200171,{},48.0
164,164,,,2022-11-09,,"[30, 21]","[(30, 95), (21, 105)]",,,22200159,{},48.0
165,165,,,2022-11-09,,"[24, 13]","[(24, 132), (13, 136)]",,,22200168,{},58.0
166,166,,,2022-11-09,,"[23, 27]","[(23, 122), (27, 124)]",,,22200169,{},53.0
167,167,,,2022-11-09,,"[14, 20]","[(14, 117), (20, 129)]",,,22200167,{},48.0
168,168,,,2022-11-09,,"[2, 29]","[(2, 128), (29, 112)]",,,22200163,{},48.0
169,169,,,2022-11-09,,"[25, 9]","[(25, 116), (9, 109)]",,,22200165,{},48.0
170,170,,,2022-11-09,,"[15, 16]","[(15, 112), (16, 85)]",,,22200164,{},48.0
171,171,,,2022-11-09,,"[18, 7]","[(18, 119), (7, 122)]",,,22200160,{},48.0
172,172,,,2022-11-01,,"[28, 6]","[(28, 113), (6, 105)]",,,22200172,{},48.0
173,173,,,2022-11-01,,"[1, 19]","[(1, 104), (19, 95)]",,,22200173,{},48.0
174,174,,,2022-11-01,,"[4, 21]","[(4, 95), (21, 106)]",,,22200175,{},48.0
175,175,,,2022-11-01,,"[12, 30]","[(12, 117), (30, 112)]",,,22200174,{},53.0
176,176,,,2022-11-11,,"[17, 20]","[(17, 114), (20, 97)]",,,22200177,{},48.0
177,177,,,2022-11-11,,"[8, 3]","[(8, 106), (3, 101)]",,,22200182,{},48.0
178,178,,,2022-11-11,,"[16, 29]","[(16, 121), (29, 112)]",,,22200178,{},48.0
179,179,,,2022-11-11,,"[2, 7]","[(2, 131), (7, 112)]",,,22200176,{},48.0
180,180,,,2022-11-11,,"[24, 25]","[(24, 132), (25, 113)]",,,22200179,{},48.0
181,181,,,2022-11-11,,"[23, 13]","[(23, 111), (13, 93)]",,,22200180,{},48.0
182,182,,,2022-11-11,,"[11, 22]","[(11, 114), (22, 120)]",,,22200183,{},48.0
183,183,,,2022-11-11,,"[27, 14]","[(27, 114), (14, 103)]",,,22200181,{},48.0
184,184,,,2022-11-12,,"[29, 2]","[(29, 108), (2, 117)]",,,22200186,{},48.0
185,185,,,2022-11-12,,"[18, 25]","[(18, 118), (25, 104)]",,,22200187,{},48.0
186,186,,,2022-11-12,,"[28, 26]","[(28, 121), (26, 112)]",,,22200185,{},48.0
187,187,,,2022-11-12,,"[6, 21]","[(6, 117), (21, 112)]",,,22200190,{},48.0
188,188,,,2022-11-12,,"[4, 9]","[(4, 119), (9, 106)]",,,22200191,{},48.0
189,189,,,2022-11-12,,"[12, 30]","[(12, 132), (30, 115)]",,,22200189,{},48.0
190,190,,,2022-11-12,,"[10, 15]","[(10, 95), (15, 110)]",,,22200184,{},48.0
191,191,,,2022-11-12,,"[19, 1]","[(19, 121), (1, 109)]",,,22200188,{},48.0
192,192,,,2022-11-13,,"[22, 8]","[(22, 122), (8, 115)]",,,22200197,{},48.0
193,193,,,2022-11-13,,"[5, 7]","[(5, 103), (7, 126)]",,,22200196,{},48.0
194,194,,,2022-11-13,,"[3, 14]","[(3, 124), (14, 129)]",,,22200193,{},48.0
195,195,,,2022-11-13,,"[11, 15]","[(11, 116), (15, 103)]",,,22200198,{},48.0
196,196,,,2022-11-13,,"[16, 24]","[(16, 135), (24, 145)]",,,22200192,{},48.0
197,197,,,2022-11-13,,"[19, 26]","[(19, 105), (26, 98)]",,,22200195,{},48.0
198,198,,,2022-11-13,,"[28, 27]","[(28, 102), (27, 92)]",,,22200194,{},48.0
199,199,,,2022-11-14,,"[17, 30]","[(17, 105), (30, 112)]",,,22200200,{},48.0
200,200,,,2022-11-14,,"[8, 23]","[(8, 132), (23, 95)]",,,22200205,{},48.0
201,201,,,2022-11-14,,"[9, 10]","[(9, 106), (10, 122)]",,,22200203,{},48.0
202,202,,,2022-11-14,,"[2, 24]","[(2, 126), (24, 122)]",,,22200201,{},48.0
203,203,,,2022-11-14,,"[29, 25]","[(29, 111), (25, 115)]",,,22200199,{},48.0
204,204,,,2022-11-14,,"[12, 20]","[(12, 113), (20, 112)]",,,22200202,{},48.0
205,205,,,2022-11-14,,"[13, 1]","[(13, 106), (1, 121)]",,,22200204,{},48.0
206,206,,,2022-11-15,,"[4, 27]","[(4, 113), (27, 102)]",,,22200206,{},48.0
207,207,,,2022-11-15,,"[6, 10]","[(6, 103), (10, 101)]",,,22200207,{},48.0
208,208,,,2022-11-15,,"[22, 15]","[(22, 153), (15, 121)]",,,22200210,{},48.0
209,209,,,2022-11-15,,"[21, 23]","[(21, 117), (23, 110)]",,,22200209,{},48.0
210,210,,,2022-11-15,,"[26, 16]","[(26, 111), (16, 118)]",,,22200208,{},48.0
211,211,,,2022-11-16,,"[28, 24]","[(28, 120), (24, 121)]",,,22200213,{},48.0
212,212,,,2022-11-16,,"[30, 18]","[(30, 113), (18, 125)]",,,22200211,{},48.0
213,213,,,2022-11-16,,"[17, 14]","[(17, 108), (14, 126)]",,,22200212,{},48.0
214,214,,,2022-11-16,,"[1, 2]","[(1, 101), (2, 126)]",,,22200214,{},48.0
215,215,,,2022-11-16,,"[20, 8]","[(20, 130), (8, 119)]",,,22200220,{},48.0
216,216,,,2022-11-16,,"[7, 16]","[(7, 103), (16, 106)]",,,22200219,{},48.0
217,217,,,2022-11-16,,"[6, 9]","[(6, 92), (9, 101)]",,,22200218,{},48.0
218,218,,,2022-11-16,,"[4, 5]","[(4, 124), (5, 110)]",,,22200217,{},48.0
219,219,,,2022-11-16,,"[13, 3]","[(13, 113), (3, 98)]",,,22200216,{},48.0
220,220,,,2022-11-16,,"[25, 12]","[(25, 112), (12, 104)]",,,22200215,{},48.0
